year,country,growth_factor_name,growth_factor_value,
2022,Austria,annual_population_change,0.5,
2023,Austria,annual_population_change,0.5,
2024,Austria,annual_population_change,0.5,
2025,Austria,annual_population_change,0.5,
2026,Austria,annual_population_change,0.5,
2027,Austria,annual_population_change,0.5,
2028,Austria,annual_population_change,0.5,
2029,Austria,annual_population_change,0.5,
2030,Austria,annual_population_change,0.2,
2031,Austria,annual_population_change,0.2,
2032,Austria,annual_population_change,0.2,
2033,Austria,annual_population_change,0.2,
2034,Austria,annual_population_change,0.2,
2035,Austria,annual_population_change,0.2,
2036,Austria,annual_population_change,0.2,
2037,Austria,annual_population_change,0.2,
2038,Austria,annual_population_change,0.2,
2039,Austria,annual_population_change,0.2,
2040,Austria,annual_population_change,0.2,
2041,Austria,annual_population_change,0.2,
2042,Austria,annual_population_change,0.2,
2043,Austria,annual_population_change,0.2,
2044,Austria,annual_population_change,0.2,
2045,Austria,annual_population_change,0.2,
2046,Austria,annual_population_change,0.2,
2047,Austria,annual_population_change,0.2,
2048,Austria,annual_population_change,0.2,
2049,Austria,annual_population_change,0.2,
2050,Austria,annual_population_change,0.2,
2022,Austria,decarbonization_of_grid_electricity,-0.9,
2023,Austria,decarbonization_of_grid_electricity,-0.9,
2024,Austria,decarbonization_of_grid_electricity,-0.9,
2025,Austria,decarbonization_of_grid_electricity,-0.9,
2026,Austria,decarbonization_of_grid_electricity,-0.9,
2027,Austria,decarbonization_of_grid_electricity,-0.9,
2028,Austria,decarbonization_of_grid_electricity,-0.9,
2029,Austria,decarbonization_of_grid_electricity,-0.9,
2030,Austria,decarbonization_of_grid_electricity,-2.5,
2031,Austria,decarbonization_of_grid_electricity,-2.5,
2032,Austria,decarbonization_of_grid_electricity,-2.5,
2033,Austria,decarbonization_of_grid_electricity,-2.5,
2034,Austria,decarbonization_of_grid_electricity,-2.5,
2035,Austria,decarbonization_of_grid_electricity,-2.5,
2036,Austria,decarbonization_of_grid_electricity,-2.5,
2037,Austria,decarbonization_of_grid_electricity,-2.5,
2038,Austria,decarbonization_of_grid_electricity,-2.5,
2039,Austria,decarbonization_of_grid_electricity,-2.5,
2040,Austria,decarbonization_of_grid_electricity,-2.5,
2041,Austria,decarbonization_of_grid_electricity,-2.5,
2042,Austria,decarbonization_of_grid_electricity,-2.5,
2043,Austria,decarbonization_of_grid_electricity,-2.5,
2044,Austria,decarbonization_of_grid_electricity,-2.5,
2045,Austria,decarbonization_of_grid_electricity,-2.5,
2046,Austria,decarbonization_of_grid_electricity,-2.5,
2047,Austria,decarbonization_of_grid_electricity,-2.5,
2048,Austria,decarbonization_of_grid_electricity,-2.5,
2049,Austria,decarbonization_of_grid_electricity,-2.5,
2050,Austria,decarbonization_of_grid_electricity,-2.5,
2022,Austria,share_of_electricity_in_road_transport,0.1,
2023,Austria,share_of_electricity_in_road_transport,0.1,
2024,Austria,share_of_electricity_in_road_transport,0.1,
2025,Austria,share_of_electricity_in_road_transport,0.2,
2026,Austria,share_of_electricity_in_road_transport,0.2,
2027,Austria,share_of_electricity_in_road_transport,0.2,
2028,Austria,share_of_electricity_in_road_transport,0.2,
2029,Austria,share_of_electricity_in_road_transport,0.2,
2030,Austria,share_of_electricity_in_road_transport,0.4,
2031,Austria,share_of_electricity_in_road_transport,0.4,
2032,Austria,share_of_electricity_in_road_transport,0.4,
2033,Austria,share_of_electricity_in_road_transport,0.4,
2034,Austria,share_of_electricity_in_road_transport,0.4,
2035,Austria,share_of_electricity_in_road_transport,0.6,
2036,Austria,share_of_electricity_in_road_transport,0.6,
2037,Austria,share_of_electricity_in_road_transport,0.6,
2038,Austria,share_of_electricity_in_road_transport,0.6,
2039,Austria,share_of_electricity_in_road_transport,0.6,
2040,Austria,share_of_electricity_in_road_transport,0.8,
2041,Austria,share_of_electricity_in_road_transport,0.8,
2042,Austria,share_of_electricity_in_road_transport,0.8,
2043,Austria,share_of_electricity_in_road_transport,0.8,
2044,Austria,share_of_electricity_in_road_transport,0.8,
2045,Austria,share_of_electricity_in_road_transport,1.0,
2046,Austria,share_of_electricity_in_road_transport,1.0,
2047,Austria,share_of_electricity_in_road_transport,1.0,
2048,Austria,share_of_electricity_in_road_transport,1.0,
2049,Austria,share_of_electricity_in_road_transport,1.0,
2050,Austria,share_of_electricity_in_road_transport,1.3,
2022,Austria,bus_annual_change_in_passenger_km,0.8,
2023,Austria,bus_annual_change_in_passenger_km,0.8,
2024,Austria,bus_annual_change_in_passenger_km,0.8,
2025,Austria,bus_annual_change_in_passenger_km,0.8,
2026,Austria,bus_annual_change_in_passenger_km,0.8,
2027,Austria,bus_annual_change_in_passenger_km,0.8,
2028,Austria,bus_annual_change_in_passenger_km,0.8,
2029,Austria,bus_annual_change_in_passenger_km,0.8,
2030,Austria,bus_annual_change_in_passenger_km,0.7,
2031,Austria,bus_annual_change_in_passenger_km,0.7,
2032,Austria,bus_annual_change_in_passenger_km,0.7,
2033,Austria,bus_annual_change_in_passenger_km,0.7,
2034,Austria,bus_annual_change_in_passenger_km,0.7,
2035,Austria,bus_annual_change_in_passenger_km,0.7,
2036,Austria,bus_annual_change_in_passenger_km,0.7,
2037,Austria,bus_annual_change_in_passenger_km,0.7,
2038,Austria,bus_annual_change_in_passenger_km,0.7,
2039,Austria,bus_annual_change_in_passenger_km,0.7,
2040,Austria,bus_annual_change_in_passenger_km,0.7,
2041,Austria,bus_annual_change_in_passenger_km,0.7,
2042,Austria,bus_annual_change_in_passenger_km,0.7,
2043,Austria,bus_annual_change_in_passenger_km,0.7,
2044,Austria,bus_annual_change_in_passenger_km,0.7,
2045,Austria,bus_annual_change_in_passenger_km,0.7,
2046,Austria,bus_annual_change_in_passenger_km,0.7,
2047,Austria,bus_annual_change_in_passenger_km,0.7,
2048,Austria,bus_annual_change_in_passenger_km,0.7,
2049,Austria,bus_annual_change_in_passenger_km,0.7,
2050,Austria,bus_annual_change_in_passenger_km,0.7,
2022,Austria,car_annual_change_in_passenger_km,0.6,
2023,Austria,car_annual_change_in_passenger_km,0.6,
2024,Austria,car_annual_change_in_passenger_km,0.6,
2025,Austria,car_annual_change_in_passenger_km,0.6,
2026,Austria,car_annual_change_in_passenger_km,0.6,
2027,Austria,car_annual_change_in_passenger_km,0.6,
2028,Austria,car_annual_change_in_passenger_km,0.6,
2029,Austria,car_annual_change_in_passenger_km,0.6,
2030,Austria,car_annual_change_in_passenger_km,0.6,
2031,Austria,car_annual_change_in_passenger_km,0.6,
2032,Austria,car_annual_change_in_passenger_km,0.6,
2033,Austria,car_annual_change_in_passenger_km,0.6,
2034,Austria,car_annual_change_in_passenger_km,0.6,
2035,Austria,car_annual_change_in_passenger_km,0.6,
2036,Austria,car_annual_change_in_passenger_km,0.6,
2037,Austria,car_annual_change_in_passenger_km,0.6,
2038,Austria,car_annual_change_in_passenger_km,0.6,
2039,Austria,car_annual_change_in_passenger_km,0.6,
2040,Austria,car_annual_change_in_passenger_km,0.6,
2041,Austria,car_annual_change_in_passenger_km,0.6,
2042,Austria,car_annual_change_in_passenger_km,0.6,
2043,Austria,car_annual_change_in_passenger_km,0.6,
2044,Austria,car_annual_change_in_passenger_km,0.6,
2045,Austria,car_annual_change_in_passenger_km,0.6,
2046,Austria,car_annual_change_in_passenger_km,0.6,
2047,Austria,car_annual_change_in_passenger_km,0.6,
2048,Austria,car_annual_change_in_passenger_km,0.6,
2049,Austria,car_annual_change_in_passenger_km,0.6,
2050,Austria,car_annual_change_in_passenger_km,0.6,
2022,Austria,tram_annual_change_in_passenger_km,1.4,
2023,Austria,tram_annual_change_in_passenger_km,1.4,
2024,Austria,tram_annual_change_in_passenger_km,1.4,
2025,Austria,tram_annual_change_in_passenger_km,1.4,
2026,Austria,tram_annual_change_in_passenger_km,1.4,
2027,Austria,tram_annual_change_in_passenger_km,1.4,
2028,Austria,tram_annual_change_in_passenger_km,1.4,
2029,Austria,tram_annual_change_in_passenger_km,1.4,
2030,Austria,tram_annual_change_in_passenger_km,0.8,
2031,Austria,tram_annual_change_in_passenger_km,0.8,
2032,Austria,tram_annual_change_in_passenger_km,0.8,
2033,Austria,tram_annual_change_in_passenger_km,0.8,
2034,Austria,tram_annual_change_in_passenger_km,0.8,
2035,Austria,tram_annual_change_in_passenger_km,0.8,
2036,Austria,tram_annual_change_in_passenger_km,0.8,
2037,Austria,tram_annual_change_in_passenger_km,0.8,
2038,Austria,tram_annual_change_in_passenger_km,0.8,
2039,Austria,tram_annual_change_in_passenger_km,0.8,
2040,Austria,tram_annual_change_in_passenger_km,0.8,
2041,Austria,tram_annual_change_in_passenger_km,0.8,
2042,Austria,tram_annual_change_in_passenger_km,0.8,
2043,Austria,tram_annual_change_in_passenger_km,0.8,
2044,Austria,tram_annual_change_in_passenger_km,0.8,
2045,Austria,tram_annual_change_in_passenger_km,0.8,
2046,Austria,tram_annual_change_in_passenger_km,0.8,
2047,Austria,tram_annual_change_in_passenger_km,0.8,
2048,Austria,tram_annual_change_in_passenger_km,0.8,
2049,Austria,tram_annual_change_in_passenger_km,0.8,
2050,Austria,tram_annual_change_in_passenger_km,0.8,
2022,Austria,metro_annual_change_in_passenger_km,1.4,
2023,Austria,metro_annual_change_in_passenger_km,1.4,
2024,Austria,metro_annual_change_in_passenger_km,1.4,
2025,Austria,metro_annual_change_in_passenger_km,1.4,
2026,Austria,metro_annual_change_in_passenger_km,1.4,
2027,Austria,metro_annual_change_in_passenger_km,1.4,
2028,Austria,metro_annual_change_in_passenger_km,1.4,
2029,Austria,metro_annual_change_in_passenger_km,1.4,
2030,Austria,metro_annual_change_in_passenger_km,0.8,
2031,Austria,metro_annual_change_in_passenger_km,0.8,
2032,Austria,metro_annual_change_in_passenger_km,0.8,
2033,Austria,metro_annual_change_in_passenger_km,0.8,
2034,Austria,metro_annual_change_in_passenger_km,0.8,
2035,Austria,metro_annual_change_in_passenger_km,0.8,
2036,Austria,metro_annual_change_in_passenger_km,0.8,
2037,Austria,metro_annual_change_in_passenger_km,0.8,
2038,Austria,metro_annual_change_in_passenger_km,0.8,
2039,Austria,metro_annual_change_in_passenger_km,0.8,
2040,Austria,metro_annual_change_in_passenger_km,0.8,
2041,Austria,metro_annual_change_in_passenger_km,0.8,
2042,Austria,metro_annual_change_in_passenger_km,0.8,
2043,Austria,metro_annual_change_in_passenger_km,0.8,
2044,Austria,metro_annual_change_in_passenger_km,0.8,
2045,Austria,metro_annual_change_in_passenger_km,0.8,
2046,Austria,metro_annual_change_in_passenger_km,0.8,
2047,Austria,metro_annual_change_in_passenger_km,0.8,
2048,Austria,metro_annual_change_in_passenger_km,0.8,
2049,Austria,metro_annual_change_in_passenger_km,0.8,
2050,Austria,metro_annual_change_in_passenger_km,0.8,
2022,Austria,train_annual_change_in_passenger_km,1.4,
2023,Austria,train_annual_change_in_passenger_km,1.4,
2024,Austria,train_annual_change_in_passenger_km,1.4,
2025,Austria,train_annual_change_in_passenger_km,1.4,
2026,Austria,train_annual_change_in_passenger_km,1.4,
2027,Austria,train_annual_change_in_passenger_km,1.4,
2028,Austria,train_annual_change_in_passenger_km,1.4,
2029,Austria,train_annual_change_in_passenger_km,1.4,
2030,Austria,train_annual_change_in_passenger_km,0.8,
2031,Austria,train_annual_change_in_passenger_km,0.8,
2032,Austria,train_annual_change_in_passenger_km,0.8,
2033,Austria,train_annual_change_in_passenger_km,0.8,
2034,Austria,train_annual_change_in_passenger_km,0.8,
2035,Austria,train_annual_change_in_passenger_km,0.8,
2036,Austria,train_annual_change_in_passenger_km,0.8,
2037,Austria,train_annual_change_in_passenger_km,0.8,
2038,Austria,train_annual_change_in_passenger_km,0.8,
2039,Austria,train_annual_change_in_passenger_km,0.8,
2040,Austria,train_annual_change_in_passenger_km,0.8,
2041,Austria,train_annual_change_in_passenger_km,0.8,
2042,Austria,train_annual_change_in_passenger_km,0.8,
2043,Austria,train_annual_change_in_passenger_km,0.8,
2044,Austria,train_annual_change_in_passenger_km,0.8,
2045,Austria,train_annual_change_in_passenger_km,0.8,
2046,Austria,train_annual_change_in_passenger_km,0.8,
2047,Austria,train_annual_change_in_passenger_km,0.8,
2048,Austria,train_annual_change_in_passenger_km,0.8,
2049,Austria,train_annual_change_in_passenger_km,0.8,
2050,Austria,train_annual_change_in_passenger_km,0.8,
2022,Austria,rail_transport_annual_change_in_vehicle_km,1.4,
2023,Austria,rail_transport_annual_change_in_vehicle_km,1.4,
2024,Austria,rail_transport_annual_change_in_vehicle_km,1.4,
2025,Austria,rail_transport_annual_change_in_vehicle_km,1.4,
2026,Austria,rail_transport_annual_change_in_vehicle_km,1.4,
2027,Austria,rail_transport_annual_change_in_vehicle_km,1.4,
2028,Austria,rail_transport_annual_change_in_vehicle_km,1.4,
2029,Austria,rail_transport_annual_change_in_vehicle_km,1.4,
2030,Austria,rail_transport_annual_change_in_vehicle_km,1.1,
2031,Austria,rail_transport_annual_change_in_vehicle_km,1.1,
2032,Austria,rail_transport_annual_change_in_vehicle_km,1.1,
2033,Austria,rail_transport_annual_change_in_vehicle_km,1.1,
2034,Austria,rail_transport_annual_change_in_vehicle_km,1.1,
2035,Austria,rail_transport_annual_change_in_vehicle_km,1.1,
2036,Austria,rail_transport_annual_change_in_vehicle_km,1.1,
2037,Austria,rail_transport_annual_change_in_vehicle_km,1.1,
2038,Austria,rail_transport_annual_change_in_vehicle_km,1.1,
2039,Austria,rail_transport_annual_change_in_vehicle_km,1.1,
2040,Austria,rail_transport_annual_change_in_vehicle_km,1.1,
2041,Austria,rail_transport_annual_change_in_vehicle_km,1.1,
2042,Austria,rail_transport_annual_change_in_vehicle_km,1.1,
2043,Austria,rail_transport_annual_change_in_vehicle_km,1.1,
2044,Austria,rail_transport_annual_change_in_vehicle_km,1.1,
2045,Austria,rail_transport_annual_change_in_vehicle_km,1.1,
2046,Austria,rail_transport_annual_change_in_vehicle_km,1.1,
2047,Austria,rail_transport_annual_change_in_vehicle_km,1.1,
2048,Austria,rail_transport_annual_change_in_vehicle_km,1.1,
2049,Austria,rail_transport_annual_change_in_vehicle_km,1.1,
2050,Austria,rail_transport_annual_change_in_vehicle_km,1.1,
2022,Austria,road_transport_annual_change_in_vehicle_km,1.3,
2023,Austria,road_transport_annual_change_in_vehicle_km,1.3,
2024,Austria,road_transport_annual_change_in_vehicle_km,1.3,
2025,Austria,road_transport_annual_change_in_vehicle_km,1.3,
2026,Austria,road_transport_annual_change_in_vehicle_km,1.3,
2027,Austria,road_transport_annual_change_in_vehicle_km,1.3,
2028,Austria,road_transport_annual_change_in_vehicle_km,1.3,
2029,Austria,road_transport_annual_change_in_vehicle_km,1.3,
2030,Austria,road_transport_annual_change_in_vehicle_km,0.8,
2031,Austria,road_transport_annual_change_in_vehicle_km,0.8,
2032,Austria,road_transport_annual_change_in_vehicle_km,0.8,
2033,Austria,road_transport_annual_change_in_vehicle_km,0.8,
2034,Austria,road_transport_annual_change_in_vehicle_km,0.8,
2035,Austria,road_transport_annual_change_in_vehicle_km,0.8,
2036,Austria,road_transport_annual_change_in_vehicle_km,0.8,
2037,Austria,road_transport_annual_change_in_vehicle_km,0.8,
2038,Austria,road_transport_annual_change_in_vehicle_km,0.8,
2039,Austria,road_transport_annual_change_in_vehicle_km,0.8,
2040,Austria,road_transport_annual_change_in_vehicle_km,0.8,
2041,Austria,road_transport_annual_change_in_vehicle_km,0.8,
2042,Austria,road_transport_annual_change_in_vehicle_km,0.8,
2043,Austria,road_transport_annual_change_in_vehicle_km,0.8,
2044,Austria,road_transport_annual_change_in_vehicle_km,0.8,
2045,Austria,road_transport_annual_change_in_vehicle_km,0.8,
2046,Austria,road_transport_annual_change_in_vehicle_km,0.8,
2047,Austria,road_transport_annual_change_in_vehicle_km,0.8,
2048,Austria,road_transport_annual_change_in_vehicle_km,0.8,
2049,Austria,road_transport_annual_change_in_vehicle_km,0.8,
2050,Austria,road_transport_annual_change_in_vehicle_km,0.8,
2022,Austria,water_transport_annual_change_in_vehicle_km,1.0,
2023,Austria,water_transport_annual_change_in_vehicle_km,1.0,
2024,Austria,water_transport_annual_change_in_vehicle_km,1.0,
2025,Austria,water_transport_annual_change_in_vehicle_km,1.0,
2026,Austria,water_transport_annual_change_in_vehicle_km,1.0,
2027,Austria,water_transport_annual_change_in_vehicle_km,1.0,
2028,Austria,water_transport_annual_change_in_vehicle_km,1.0,
2029,Austria,water_transport_annual_change_in_vehicle_km,1.0,
2030,Austria,water_transport_annual_change_in_vehicle_km,0.9,
2031,Austria,water_transport_annual_change_in_vehicle_km,0.9,
2032,Austria,water_transport_annual_change_in_vehicle_km,0.9,
2033,Austria,water_transport_annual_change_in_vehicle_km,0.9,
2034,Austria,water_transport_annual_change_in_vehicle_km,0.9,
2035,Austria,water_transport_annual_change_in_vehicle_km,0.9,
2036,Austria,water_transport_annual_change_in_vehicle_km,0.9,
2037,Austria,water_transport_annual_change_in_vehicle_km,0.9,
2038,Austria,water_transport_annual_change_in_vehicle_km,0.9,
2039,Austria,water_transport_annual_change_in_vehicle_km,0.9,
2040,Austria,water_transport_annual_change_in_vehicle_km,0.9,
2041,Austria,water_transport_annual_change_in_vehicle_km,0.9,
2042,Austria,water_transport_annual_change_in_vehicle_km,0.9,
2043,Austria,water_transport_annual_change_in_vehicle_km,0.9,
2044,Austria,water_transport_annual_change_in_vehicle_km,0.9,
2045,Austria,water_transport_annual_change_in_vehicle_km,0.9,
2046,Austria,water_transport_annual_change_in_vehicle_km,0.9,
2047,Austria,water_transport_annual_change_in_vehicle_km,0.9,
2048,Austria,water_transport_annual_change_in_vehicle_km,0.9,
2049,Austria,water_transport_annual_change_in_vehicle_km,0.9,
2050,Austria,water_transport_annual_change_in_vehicle_km,0.9,
2022,Belgium,annual_population_change,0.9,
2023,Belgium,annual_population_change,0.9,
2024,Belgium,annual_population_change,0.9,
2025,Belgium,annual_population_change,0.9,
2026,Belgium,annual_population_change,0.9,
2027,Belgium,annual_population_change,0.9,
2028,Belgium,annual_population_change,0.9,
2029,Belgium,annual_population_change,0.9,
2030,Belgium,annual_population_change,0.7,
2031,Belgium,annual_population_change,0.7,
2032,Belgium,annual_population_change,0.7,
2033,Belgium,annual_population_change,0.7,
2034,Belgium,annual_population_change,0.7,
2035,Belgium,annual_population_change,0.7,
2036,Belgium,annual_population_change,0.7,
2037,Belgium,annual_population_change,0.7,
2038,Belgium,annual_population_change,0.7,
2039,Belgium,annual_population_change,0.7,
2040,Belgium,annual_population_change,0.7,
2041,Belgium,annual_population_change,0.7,
2042,Belgium,annual_population_change,0.7,
2043,Belgium,annual_population_change,0.7,
2044,Belgium,annual_population_change,0.7,
2045,Belgium,annual_population_change,0.7,
2046,Belgium,annual_population_change,0.7,
2047,Belgium,annual_population_change,0.7,
2048,Belgium,annual_population_change,0.7,
2049,Belgium,annual_population_change,0.7,
2050,Belgium,annual_population_change,0.7,
2022,Belgium,decarbonization_of_grid_electricity,6.7,
2023,Belgium,decarbonization_of_grid_electricity,6.7,
2024,Belgium,decarbonization_of_grid_electricity,6.7,
2025,Belgium,decarbonization_of_grid_electricity,6.7,
2026,Belgium,decarbonization_of_grid_electricity,6.7,
2027,Belgium,decarbonization_of_grid_electricity,6.7,
2028,Belgium,decarbonization_of_grid_electricity,6.7,
2029,Belgium,decarbonization_of_grid_electricity,6.7,
2030,Belgium,decarbonization_of_grid_electricity,-0.5,
2031,Belgium,decarbonization_of_grid_electricity,-0.5,
2032,Belgium,decarbonization_of_grid_electricity,-0.5,
2033,Belgium,decarbonization_of_grid_electricity,-0.5,
2034,Belgium,decarbonization_of_grid_electricity,-0.5,
2035,Belgium,decarbonization_of_grid_electricity,-0.5,
2036,Belgium,decarbonization_of_grid_electricity,-0.5,
2037,Belgium,decarbonization_of_grid_electricity,-0.5,
2038,Belgium,decarbonization_of_grid_electricity,-0.5,
2039,Belgium,decarbonization_of_grid_electricity,-0.5,
2040,Belgium,decarbonization_of_grid_electricity,-0.5,
2041,Belgium,decarbonization_of_grid_electricity,-0.5,
2042,Belgium,decarbonization_of_grid_electricity,-0.5,
2043,Belgium,decarbonization_of_grid_electricity,-0.5,
2044,Belgium,decarbonization_of_grid_electricity,-0.5,
2045,Belgium,decarbonization_of_grid_electricity,-0.5,
2046,Belgium,decarbonization_of_grid_electricity,-0.5,
2047,Belgium,decarbonization_of_grid_electricity,-0.5,
2048,Belgium,decarbonization_of_grid_electricity,-0.5,
2049,Belgium,decarbonization_of_grid_electricity,-0.5,
2050,Belgium,decarbonization_of_grid_electricity,-0.5,
2022,Belgium,share_of_electricity_in_road_transport,0.3,
2023,Belgium,share_of_electricity_in_road_transport,0.3,
2024,Belgium,share_of_electricity_in_road_transport,0.3,
2025,Belgium,share_of_electricity_in_road_transport,0.4,
2026,Belgium,share_of_electricity_in_road_transport,0.4,
2027,Belgium,share_of_electricity_in_road_transport,0.4,
2028,Belgium,share_of_electricity_in_road_transport,0.4,
2029,Belgium,share_of_electricity_in_road_transport,0.4,
2030,Belgium,share_of_electricity_in_road_transport,0.6,
2031,Belgium,share_of_electricity_in_road_transport,0.6,
2032,Belgium,share_of_electricity_in_road_transport,0.6,
2033,Belgium,share_of_electricity_in_road_transport,0.6,
2034,Belgium,share_of_electricity_in_road_transport,0.6,
2035,Belgium,share_of_electricity_in_road_transport,1.0,
2036,Belgium,share_of_electricity_in_road_transport,1.0,
2037,Belgium,share_of_electricity_in_road_transport,1.0,
2038,Belgium,share_of_electricity_in_road_transport,1.0,
2039,Belgium,share_of_electricity_in_road_transport,1.0,
2040,Belgium,share_of_electricity_in_road_transport,1.2,
2041,Belgium,share_of_electricity_in_road_transport,1.2,
2042,Belgium,share_of_electricity_in_road_transport,1.2,
2043,Belgium,share_of_electricity_in_road_transport,1.2,
2044,Belgium,share_of_electricity_in_road_transport,1.2,
2045,Belgium,share_of_electricity_in_road_transport,1.5,
2046,Belgium,share_of_electricity_in_road_transport,1.5,
2047,Belgium,share_of_electricity_in_road_transport,1.5,
2048,Belgium,share_of_electricity_in_road_transport,1.5,
2049,Belgium,share_of_electricity_in_road_transport,1.5,
2050,Belgium,share_of_electricity_in_road_transport,1.7,
2022,Belgium,bus_annual_change_in_passenger_km,0.1,
2023,Belgium,bus_annual_change_in_passenger_km,0.1,
2024,Belgium,bus_annual_change_in_passenger_km,0.1,
2025,Belgium,bus_annual_change_in_passenger_km,0.1,
2026,Belgium,bus_annual_change_in_passenger_km,0.1,
2027,Belgium,bus_annual_change_in_passenger_km,0.1,
2028,Belgium,bus_annual_change_in_passenger_km,0.1,
2029,Belgium,bus_annual_change_in_passenger_km,0.1,
2030,Belgium,bus_annual_change_in_passenger_km,0.2,
2031,Belgium,bus_annual_change_in_passenger_km,0.2,
2032,Belgium,bus_annual_change_in_passenger_km,0.2,
2033,Belgium,bus_annual_change_in_passenger_km,0.2,
2034,Belgium,bus_annual_change_in_passenger_km,0.2,
2035,Belgium,bus_annual_change_in_passenger_km,0.2,
2036,Belgium,bus_annual_change_in_passenger_km,0.2,
2037,Belgium,bus_annual_change_in_passenger_km,0.2,
2038,Belgium,bus_annual_change_in_passenger_km,0.2,
2039,Belgium,bus_annual_change_in_passenger_km,0.2,
2040,Belgium,bus_annual_change_in_passenger_km,0.2,
2041,Belgium,bus_annual_change_in_passenger_km,0.2,
2042,Belgium,bus_annual_change_in_passenger_km,0.2,
2043,Belgium,bus_annual_change_in_passenger_km,0.2,
2044,Belgium,bus_annual_change_in_passenger_km,0.2,
2045,Belgium,bus_annual_change_in_passenger_km,0.2,
2046,Belgium,bus_annual_change_in_passenger_km,0.2,
2047,Belgium,bus_annual_change_in_passenger_km,0.2,
2048,Belgium,bus_annual_change_in_passenger_km,0.2,
2049,Belgium,bus_annual_change_in_passenger_km,0.2,
2050,Belgium,bus_annual_change_in_passenger_km,0.2,
2022,Belgium,car_annual_change_in_passenger_km,0.8,
2023,Belgium,car_annual_change_in_passenger_km,0.8,
2024,Belgium,car_annual_change_in_passenger_km,0.8,
2025,Belgium,car_annual_change_in_passenger_km,0.8,
2026,Belgium,car_annual_change_in_passenger_km,0.8,
2027,Belgium,car_annual_change_in_passenger_km,0.8,
2028,Belgium,car_annual_change_in_passenger_km,0.8,
2029,Belgium,car_annual_change_in_passenger_km,0.8,
2030,Belgium,car_annual_change_in_passenger_km,0.6,
2031,Belgium,car_annual_change_in_passenger_km,0.6,
2032,Belgium,car_annual_change_in_passenger_km,0.6,
2033,Belgium,car_annual_change_in_passenger_km,0.6,
2034,Belgium,car_annual_change_in_passenger_km,0.6,
2035,Belgium,car_annual_change_in_passenger_km,0.6,
2036,Belgium,car_annual_change_in_passenger_km,0.6,
2037,Belgium,car_annual_change_in_passenger_km,0.6,
2038,Belgium,car_annual_change_in_passenger_km,0.6,
2039,Belgium,car_annual_change_in_passenger_km,0.6,
2040,Belgium,car_annual_change_in_passenger_km,0.6,
2041,Belgium,car_annual_change_in_passenger_km,0.6,
2042,Belgium,car_annual_change_in_passenger_km,0.6,
2043,Belgium,car_annual_change_in_passenger_km,0.6,
2044,Belgium,car_annual_change_in_passenger_km,0.6,
2045,Belgium,car_annual_change_in_passenger_km,0.6,
2046,Belgium,car_annual_change_in_passenger_km,0.6,
2047,Belgium,car_annual_change_in_passenger_km,0.6,
2048,Belgium,car_annual_change_in_passenger_km,0.6,
2049,Belgium,car_annual_change_in_passenger_km,0.6,
2050,Belgium,car_annual_change_in_passenger_km,0.6,
2022,Belgium,tram_annual_change_in_passenger_km,1.7,
2023,Belgium,tram_annual_change_in_passenger_km,1.7,
2024,Belgium,tram_annual_change_in_passenger_km,1.7,
2025,Belgium,tram_annual_change_in_passenger_km,1.7,
2026,Belgium,tram_annual_change_in_passenger_km,1.7,
2027,Belgium,tram_annual_change_in_passenger_km,1.7,
2028,Belgium,tram_annual_change_in_passenger_km,1.7,
2029,Belgium,tram_annual_change_in_passenger_km,1.7,
2030,Belgium,tram_annual_change_in_passenger_km,1.7,
2031,Belgium,tram_annual_change_in_passenger_km,1.7,
2032,Belgium,tram_annual_change_in_passenger_km,1.7,
2033,Belgium,tram_annual_change_in_passenger_km,1.7,
2034,Belgium,tram_annual_change_in_passenger_km,1.7,
2035,Belgium,tram_annual_change_in_passenger_km,1.7,
2036,Belgium,tram_annual_change_in_passenger_km,1.7,
2037,Belgium,tram_annual_change_in_passenger_km,1.7,
2038,Belgium,tram_annual_change_in_passenger_km,1.7,
2039,Belgium,tram_annual_change_in_passenger_km,1.7,
2040,Belgium,tram_annual_change_in_passenger_km,1.7,
2041,Belgium,tram_annual_change_in_passenger_km,1.7,
2042,Belgium,tram_annual_change_in_passenger_km,1.7,
2043,Belgium,tram_annual_change_in_passenger_km,1.7,
2044,Belgium,tram_annual_change_in_passenger_km,1.7,
2045,Belgium,tram_annual_change_in_passenger_km,1.7,
2046,Belgium,tram_annual_change_in_passenger_km,1.7,
2047,Belgium,tram_annual_change_in_passenger_km,1.7,
2048,Belgium,tram_annual_change_in_passenger_km,1.7,
2049,Belgium,tram_annual_change_in_passenger_km,1.7,
2050,Belgium,tram_annual_change_in_passenger_km,1.7,
2022,Belgium,metro_annual_change_in_passenger_km,1.7,
2023,Belgium,metro_annual_change_in_passenger_km,1.7,
2024,Belgium,metro_annual_change_in_passenger_km,1.7,
2025,Belgium,metro_annual_change_in_passenger_km,1.7,
2026,Belgium,metro_annual_change_in_passenger_km,1.7,
2027,Belgium,metro_annual_change_in_passenger_km,1.7,
2028,Belgium,metro_annual_change_in_passenger_km,1.7,
2029,Belgium,metro_annual_change_in_passenger_km,1.7,
2030,Belgium,metro_annual_change_in_passenger_km,1.7,
2031,Belgium,metro_annual_change_in_passenger_km,1.7,
2032,Belgium,metro_annual_change_in_passenger_km,1.7,
2033,Belgium,metro_annual_change_in_passenger_km,1.7,
2034,Belgium,metro_annual_change_in_passenger_km,1.7,
